,Asset,Strategy,Return %,Sharpe,Sortino,Max DD %,Calmar,Trades,Win Rate %,Avg Win %,Avg Loss %,Profit Factor,Final Equity
1,NVDA,MACD Crossover,106.84,2.873,5.076,-16.37,13.051,7,71.4,21.51,-6.37,9.47,206836.4
2,BTCUSDT,RSI Mean Reversion,52.24,1.547,2.356,-25.94,4.028,2,100.0,25.02,0.0,inf,152240.55
3,MSFT,RSI Mean Reversion,16.92,1.129,1.674,-12.32,2.748,2,100.0,14.49,0.0,inf,116921.41
4,MSFT,MACD Crossover,14.2,0.886,1.445,-18.39,1.544,9,33.3,11.84,-3.47,1.57,114197.44
5,BTCUSDT,MACD Crossover,22.24,0.857,1.513,-36.71,1.212,8,25.0,27.64,-8.74,1.31,122243.88
6,GOOGL,Bollinger Band + RSI,11.58,0.752,1.062,-13.17,1.759,1,100.0,17.55,0.0,inf,111584.18
7,BTCUSDT,EMA Crossover (9/21),14.73,0.66,1.28,-29.95,0.984,6,33.3,16.14,-8.15,1.03,114731.19
8,AMZN,RSI Mean Reversion,8.13,0.465,0.658,-14.31,1.136,1,100.0,8.4,0.0,inf,108130.31
9,GOOGL,Triple EMA + ATR Stop,7.24,0.456,0.757,-13.19,1.098,6,33.3,1.41,-1.47,0.48,107237.18
10,MSFT,EMA Crossover (9/21),6.26,0.383,0.665,-21.16,0.592,7,14.3,4.34,-3.1,0.23,106261.52
11,NVDA,RSI Mean Reversion,-3.46,0.299,0.39,-66.38,-0.104,1,0.0,0.0,-11.91,0.0,96535.59
12,TSLA,Triple EMA + ATR Stop,2.89,0.281,0.416,-25.07,0.23,7,28.6,13.77,-3.38,1.36,102887.56
13,TSLA,RSI Mean Reversion,-0.89,0.232,0.415,-36.42,-0.049,0,0.0,0.0,0.0,0.0,99114.62
14,NVDA,EMA Crossover (9/21),0.83,0.215,0.384,-32.61,0.051,8,12.5,51.36,-5.81,1.07,100832.76
15,BTCUSDT,Triple EMA + ATR Stop,1.21,0.196,0.3,-25.22,0.096,7,42.9,9.29,-4.65,1.54,101212.09
16,MSFT,Triple EMA + ATR Stop,2.69,0.136,0.229,-19.43,0.277,8,25.0,2.42,-2.86,0.28,102694.7
17,TSLA,Bollinger Band + RSI,-5.14,0.119,0.212,-37.1,-0.277,1,0.0,0.0,-3.39,0.0,94859.88
18,BTCUSDT,Bollinger Band + RSI,-5.59,0.097,0.15,-30.91,-0.362,2,50.0,2.94,-1.26,2.4,94410.76
19,NVDA,Bollinger Band + RSI,-31.4,0.041,0.058,-75.38,-0.833,1,0.0,0.0,-31.25,0.0,68597.05
20,META,RSI Mean Reversion,-1.75,-0.041,-0.066,-25.99,-0.135,1,100.0,15.34,0.0,inf,98250.7
21,AAPL,Bollinger Band + RSI,-0.75,-0.128,-0.177,-16.07,-0.093,1,0.0,0.0,-2.97,0.0,99252.5
22,META,EMA Crossover (9/21),-3.8,-0.194,-0.333,-22.55,-0.337,9,33.3,7.71,-3.37,1.22,96197.66
23,AAPL,RSI Mean Reversion,-2.87,-0.309,-0.387,-16.19,-0.354,0,0.0,0.0,0.0,0.0,97134.43
24,AMZN,Bollinger Band + RSI,-7.23,-0.336,-0.5,-14.96,-0.967,1,0.0,0.0,-0.38,0.0,92768.73
25,NVDA,Triple EMA + ATR Stop,-17.4,-0.61,-0.84,-33.26,-1.046,8,25.0,22.37,-8.53,0.8,82598.49
26,META,Triple EMA + ATR Stop,-11.52,-0.676,-0.897,-25.52,-0.903,10,30.0,5.49,-3.49,0.72,88477.29
27,META,MACD Crossover,-12.11,-0.692,-1.107,-25.5,-0.95,9,33.3,7.22,-5.1,0.73,87888.54
28,AMZN,Triple EMA + ATR Stop,-15.37,-1.006,-1.343,-21.79,-1.41,9,11.1,6.44,-3.24,0.25,84632.99
29,AMZN,MACD Crossover,-18.11,-1.095,-1.638,-26.22,-1.381,13,15.4,5.4,-3.29,0.28,81891.84
30,TSLA,EMA Crossover (9/21),-34.55,-1.199,-2.0,-45.26,-1.527,10,10.0,27.33,-7.56,0.35,65447.53
31,AMZN,EMA Crossover (9/21),-19.88,-1.218,-1.837,-28.41,-1.4,9,11.1,5.6,-4.18,0.16,80115.07
32,AAPL,Triple EMA + ATR Stop,-15.07,-1.261,-1.872,-21.27,-1.417,10,20.0,3.03,-2.47,0.33,84933.93
33,META,Bollinger Band + RSI,-25.26,-1.276,-1.747,-37.05,-1.364,0,0.0,0.0,0.0,0.0,74738.75
34,MSFT,Bollinger Band + RSI,-17.79,-1.374,-1.977,-21.1,-1.686,2,100.0,2.34,0.0,inf,82214.74
35,GOOGL,MACD Crossover,-18.83,-1.447,-2.497,-26.7,-1.411,15,20.0,2.37,-2.68,0.22,81169.25
36,AAPL,MACD Crossover,-21.76,-1.725,-2.632,-24.08,-1.807,13,15.4,4.03,-2.9,0.25,78235.22
37,GOOGL,RSI Mean Reversion,-8.96,-1.735,-1.462,-14.94,-1.199,0,0.0,0.0,0.0,0.0,91043.09
38,GOOGL,EMA Crossover (9/21),-24.14,-1.894,-3.216,-35.29,-1.368,11,0.0,0.0,-3.61,0.0,75864.52
39,TSLA,MACD Crossover,-49.42,-2.115,-3.423,-54.78,-1.804,16,18.8,6.57,-6.84,0.24,50579.17
40,AAPL,EMA Crossover (9/21),-29.65,-2.446,-3.78,-29.84,-1.987,11,18.2,1.54,-3.9,0.09,70352.11
